Date,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,City,City ID,Country,Device Type,Operating System,Impressions,Clicks,Click Rate (CTR),Media Cost (USD),Revenue (USD),DCM Post-Click Revenue,DCM Post-View Revenue,Total Conversions
2016/05/01,TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ April16,2236494,Active,,TOEFL_Audience_ Reg_ April16,6450141,Active,,,INR,Mumbai,1007785,IN,Desktop,Windows 7,2,0,0.000%,0.000110,0.000127,0.000000,0.000000,0.00
2016/05/01,TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ April16,2236494,Active,,TOEFL_Audience_ Reg_ April16,6450141,Active,,,INR,Pune,1007788,IN,Desktop,Windows 8,1,0,0.000%,0.000057,0.000066,0.000000,0.000000,0.00
2016/05/01,TOEFL_Audience_Reg- 2016,932635,Active,,TOEFL_Audience_ Reg_ April16,2236494,Active,,TOEFL_Audience_ Reg_ April16,6450141,Active,,,INR,Kolkata,1007828,IN,Desktop,Windows 7,2,0,0.000%,0.000088,0.000101,0.000000,0.000000,0.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Hyderabad,1007740,IN,Smart Phone,Android,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Smart Phone,iOS,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Smart Phone,Android,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Smart Phone,Android 4.3,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Desktop,Other,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Desktop,Windows 7,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,New Delhi,1007751,IN,Desktop,Windows 8,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Faridabad,1007764,IN,Smart Phone,iOS,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Gurgaon,1007765,IN,Smart Phone,iOS,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Gurgaon,1007765,IN,Desktop,Windows 7,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Bangalore,1007768,IN,Smart Phone,iOS,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Bangalore,1007768,IN,Smart Phone,Android,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Bangalore,1007768,IN,Desktop,Other,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,1.00
2016/05/01,Hindware Remarketing,950337,Paused,,Hindware Remarketing,2124147,Paused,,Hindwarehomes (Automate),5328412,Active,,,INR,Bangalore,1007768,IN,Desktop,Macintosh,0,0,0.000%,0.000000,0.000000,0.000000,0.000000,2.00
