"CAMPAIGN_PERFORMANCE_REPORT (Apr 13, 2016-Jul 31, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Conversions,Cost,Unique cookies
2016-04-13,390878914,TNT GDN,347908,68,0.0,517260710, --
2016-04-14,390878914,TNT GDN,341785,99,0.0,501386440, --
2016-04-16,390878914,TNT GDN,307664,54,0.0,501067570, --
2016-04-17,390878914,TNT GDN,352199,89,0.0,500589570, --
2016-04-18,390878914,TNT GDN,321946,54,0.0,526142640, --
2016-04-19,390878914,TNT GDN,1781,1,0.0,2767810, --
2016-04-15,390878914,TNT GDN,347553,65,0.0,506654930, --
2016-04-13,394914754,Hindware Rimless video promotion,1541,5,0.0,564150000, --
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),63857,96,0.0,23891390000, --
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),54874,90,0.0,19358310000, --
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),53693,74,0.0,19214570000, --
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),58340,85,0.0,19241180000, --
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),44063,69,0.0,15614290000, --
Total, --, --,2297204,849,0.0,100939759670, --
