"KEYWORDS_PERFORMANCE_REPORT (Jan 1, 2016-Nov 30, 2016)"
Day,Campaign ID,Campaign,Keyword ID,Keyword,Impressions,Clicks,Conversions,Cost
2016-03-10,382431634,LICHFL ( REVISED),27316434009,www.cibil,1,0,0.0,0
2016-03-04,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,31061609378,"+which +air +purifier",2,1,0.0,20220000
2016-01-27,366284074,Moonbow Air purifier Launch ( Search),97908583,uv air cleaners,11,0,0.0,0
2016-03-11,382431634,LICHFL ( REVISED),125408495,india home loan,1,0,0.0,0
2016-02-20,366284074,Moonbow Air purifier Launch ( Search),122529400,humidifier air purifier,3,0,0.0,0
2016-03-21,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,29480333015,"+air +purify",9,0,0.0,0
2016-01-14,366284074,Moonbow Air purifier Launch ( Search),12205430,hepa air purifiers,82,0,0.0,0
2016-03-09,377282074,LICHFL - Search campaign,360469409,housing loan bank,12,1,0.0,14590000
2016-03-20,366284074,Moonbow Air purifier Launch ( Search),16111551,portable air purifier,1,0,0.0,0
2016-03-13,382431634,LICHFL ( REVISED),60651274257,lic home loan statement online,2,0,0.0,0
2016-02-26,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,259950336,sharp air purifier,73,2,0.0,57010000
2016-03-05,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,176590324,air purifiers filters,1,0,0.0,0
2016-02-03,366284074,Moonbow Air purifier Launch ( Search),747405132,uv air filtration,1,0,0.0,0
2016-03-11,377282074,LICHFL - Search campaign,133067799,housing loan rate,4,0,0.0,0
2016-02-08,373620514,[S[Moonbow_Air Purifier_Gen]: Generic - BMM,29886146573,"+large +air +purifier",1,0,0.0,0
2016-02-23,366284074,Moonbow Air purifier Launch ( Search),6521513245,uv light purifier,1,0,0.0,0
2016-01-26,363250354,Batman Delivery,25486890,home delivery food,8,0,0.0,0
2016-01-16,363250354,Batman Delivery,4683773147,delivery night,25,0,0.0,0
2016-03-05,373619794,[S[Moonbow_Air Purifier_Gen]: Generic - Exact,37792501,electrostatic air purifier,3,0,0.0,0
