"CAMPAIGN_PERFORMANCE_REPORT (Apr 12, 2016-May 11, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,Cost
2016-04-13,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-15,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-16,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-17,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-18,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-21,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-26,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-29,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-30,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-01,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-04,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-05,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-06,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-07,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-05-10,361299514,Moonbow AF Lunch ( True View),0,0,0
2016-04-15,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-04-25,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-04-26,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-04-30,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-01,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-03,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-04,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-05,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-07,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-05-09,361299874,Moonbow AF awareness video ( True View),0,0,0
2016-04-13,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-14,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-18,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-19,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-21,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-23,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-24,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-26,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-27,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-29,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-05-03,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-05-04,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-05-05,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,0
2016-04-13,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-14,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-16,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-17,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-18,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-19,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-20,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-23,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-24,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-26,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-28,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-30,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-01,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-03,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-04,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-05,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-08,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-09,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-10,362459194,Kylis Lead Gen Campaign,0,0,0
2016-05-11,362459194,Kylis Lead Gen Campaign,0,0,0
2016-04-12,363250354,Batman Delivery,0,0,0
2016-04-13,363250354,Batman Delivery,0,0,0
