Platform,Date,Reach,Active View: Measurable Impressions,Clicks,Click Rate (CTR)
Cuberoot,2017/01/16,157029,168004,190,0.096%
Cuberoot,2017/01/17,6087,7893,5,0.055%
Cuberoot,2017/01/18,118637,161271,144,0.078%
Cuberoot,2017/01/19,338690,221591,186,0.047%
Cuberoot,2017/01/20,246933,373089,170,0.039%
Cuberoot,2017/01/21,216265,358590,197,0.047%
Cuberoot,2017/01/22,202699,346509,237,0.058%
Cuberoot,2017/01/23,251825,436968,192,0.036%
Cuberoot,2017/01/24,176252,354795,202,0.050%
Cuberoot,2017/01/25,335568,680917,312,0.040%
Cuberoot,2017/01/26,328268,657396,390,0.051%
Cuberoot,2017/01/27,353838,710718,367,0.044%
Cuberoot,2017/01/28,342926,677878,339,0.043%
Cuberoot,2017/01/29,346873,677633,369,0.047%
Cuberoot,2017/01/30,365449,690258,317,0.039%
