Date,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,City,City ID,Country,Browser,Operating System,Device Type,Advertiser Currency,Impressions,Billable Impressions,Clicks,Total Conversions,Media Cost (Advertiser Currency),Click Rate (CTR)
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android,Smart Phone,INR,32,32.00,0,0.00,1.231359,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android 4.1,Smart Phone,INR,28,28.00,0,0.00,1.097197,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android 4.1,Tablet,INR,1,1.00,0,0.00,0.017770,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android 4.2,Smart Phone,INR,41,41.00,0,0.00,1.539586,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android 4.3,Smart Phone,INR,48,48.00,0,0.00,1.750209,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Android Webkit,Android 4.4,Smart Phone,INR,8,8.00,0,0.00,0.294285,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Firefox,Windows XP,Desktop,INR,1,1.00,0,0.00,0.006228,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Firefox,Windows 7,Desktop,INR,3,3.00,0,0.00,0.024705,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Firefox,Windows 8,Desktop,INR,3,3.00,0,0.00,0.015672,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Other,Desktop,INR,12,12.00,0,0.00,0.092599,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Windows XP,Desktop,INR,2,2.00,0,0.00,0.016474,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Windows 7,Desktop,INR,24,24.00,0,0.00,0.177642,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android,Smart Phone,INR,189,189.00,0,0.00,7.019163,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android,Tablet,INR,5,5.00,0,0.00,0.080765,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Windows 8,Desktop,INR,4,4.00,0,0.00,0.029868,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android 4.1,Smart Phone,INR,3,3.00,0,0.00,0.110499,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android 4.2,Smart Phone,INR,4,4.00,0,0.00,0.147134,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android 4.3,Smart Phone,INR,1,1.00,0,0.00,0.008103,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android 4.4,Smart Phone,INR,55,55.00,0,0.00,2.048775,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Chrome,Android 4.4,Tablet,INR,1,1.00,0,0.00,0.009685,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,Macintosh,Desktop,INR,2,2.00,0,0.00,0.016474,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS,Smart Phone,INR,2257,2257.00,6,0.00,82.851779,0.266%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS,Tablet,INR,26,26.00,0,0.00,0.399214,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,Symbian OS 5.0,Smart Phone,INR,2,2.00,0,0.00,0.040248,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 7.0,Smart Phone,INR,15,15.00,0,0.00,0.424214,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 7.1,Smart Phone,INR,61,61.00,0,0.00,2.194093,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 8.1,Smart Phone,INR,9,9.00,0,0.00,0.360857,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 8.1,Tablet,INR,4,4.00,0,0.00,0.066788,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 8.2,Smart Phone,INR,5,5.00,0,0.00,0.198487,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 8.3,Smart Phone,INR,28,28.00,0,0.00,1.120317,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Safari,iOS 8,Smart Phone,INR,27,27.00,0,0.00,0.982074,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Internet Explorer 11,Windows 7,Desktop,INR,4,4.00,0,0.00,0.028246,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Mobile Other,Windows Phone OS,Smart Phone,INR,4,4.00,0,0.00,0.054784,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,Mobile Other,Android 4.4,Smart Phone,INR,2,2.00,0,0.00,0.046786,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,BlackBerry,RIM OS 7.1,Smart Phone,INR,1,1.00,0,0.00,0.023393,0.000%
2016/06/11,TOEFL_Audience_Reg- 2016,932635,Active,,Hyderabad,1007740,IN,UCWeb,Android,Smart Phone,INR,15,15.00,0,0.00,0.501075,0.000%
