Line Item Id,Partner Name,Partner Id,Advertiser Name,Io Name,Line Item Name,Line Item Timestamp,Line Item Status,Io Start Date,Io End Date,Io Budget Type,Io Budget Amount,Io Pacing,Io Pacing Rate,Io Pacing Amount,Line Item Start Date,Line Item End Date,Line Item Budget Type,Line Item Budget Amount,Line Item Pacing,Line Item Pacing Rate,Line Item Pacing Amount,Line Item Frequency Enabled,Line Item Frequency Exposures,Line Item Frequency Period,Line Item Frequency Amount,Bid Price,Partner Revenue Model,Partner Revenue Amount,Current Audience Targeting Ids,Current Audience Targeting Names
4177715,AdFederal India,610940,IBM Cloud,IBM CLOUD (adtech),IBM Cloud ( Adtech),2016-10-11T04:40:12.875000,Active,10/12/2015 00:00,10/14/2015 23:59,Amount,20000.01,Daily,ASAP,3000,10/12/2015 00:00,10/14/2015 23:59,Amount,20000,Daily,ASAP,5000,False,0,Minutes,0,5,TMCM,0,,
4218595,AdFederal India,610940,Rajasthan Tourism,Rajasthan Tourism,Rajasthan Tourism,2016-10-10T15:01:55.497000,Active,10/14/2015 00:00,11/11/2015 23:59,Amount,10000,Daily,Even,500,10/14/2015 00:00,11/11/2015 23:59,Amount,10000,Daily,Even,500,False,0,Minutes,0,3,TMCM,0,,
3042477,AdFederal India,610940,Wind  Mobile,HEFwind Mobile,HEF- Wind mobile- Plans,2016-07-20T08:46:29.087000,Active,04/27/2015 00:00,05/31/2015 23:59,Amount,300,Flight,Even,0,04/27/2015 00:00,05/31/2015 23:59,Amount,150,Flight,Even,0,False,0,Minutes,0,0,TMCM,0,4569529;,Bid Manager Audiences » Affinity Categories » Mobile Enthusiasts;
3043282,AdFederal India,610940,Wind  Mobile,HEFwind Mobile,HEF- Wind Mobile- MOBILE,2016-07-20T08:46:29.087000,Active,04/27/2015 00:00,05/31/2015 23:59,Amount,300,Flight,Even,0,04/27/2015 00:00,05/31/2015 23:59,Amount,150,Flight,Even,0,False,0,Minutes,0,0,TMCM,0,,
3626989,AdFederal India,610940,AIR NZ(AU) OLD+ 2nd phase,AIR NZ,Air NZ old+ 2nd phase,2016-10-10T16:38:10.634000,Paused,08/03/2015 00:00,08/31/2015 23:59,Amount,500,Daily,Even,100,08/03/2015 00:00,08/31/2015 23:59,Amount,200,Daily,ASAP,100,False,0,Minutes,0,0.4,TMCM,0,,
3394771,AdFederal India,610940,MBS (JUNE TO DEC),MBS (JUNE TO SEP)- DESKTOP,MBS- 300x250,2016-10-10T16:06:55.731000,Paused,06/29/2015 00:00,12/12/2015 23:59,Amount,1000,Daily,Even,4,06/29/2015 00:00,12/12/2015 23:59,Amount,300,Daily,Even,10,True,100,Lifetime,0,0.1,TMCM,0,,
3394772,AdFederal India,610940,MBS (JUNE TO DEC),MBS (JUNE TO SEP)- DESKTOP,MBS 160x600,2016-10-10T16:06:55.731000,Paused,06/29/2015 00:00,12/12/2015 23:59,Amount,1000,Daily,Even,4,06/29/2015 00:00,12/12/2015 23:59,Amount,300,Daily,Even,10,True,100,Lifetime,0,0.1,TMCM,0,,
3394778,AdFederal India,610940,MBS (JUNE TO DEC),MBS (JUNE TO SEP)- DESKTOP,MBS 728x90,2016-10-10T16:06:55.731000,Paused,06/29/2015 00:00,12/12/2015 23:59,Amount,1000,Daily,Even,4,06/29/2015 00:00,12/12/2015 23:59,Amount,200,Daily,Even,0.05,True,5,Lifetime,0,0.01,TMCM,0,,
3507986,AdFederal India,610940,Run Bharti Axa,Run Bharti Axa,Run AXA ( BUY now),2016-07-28T11:14:34.974000,Active,07/13/2015 00:00,08/31/2015 23:59,Amount,232.81,Daily,Even,10,07/13/2015 00:00,08/31/2015 23:59,Amount,110,Daily,Even,15,False,0,Minutes,0,2.5,TMCM,0,,
3507988,AdFederal India,610940,Run Bharti Axa,Run Bharti Axa,Run AXA (down load),2016-07-28T11:14:36.322000,Active,07/13/2015 00:00,08/31/2015 23:59,Amount,232.81,Daily,Even,10,07/13/2015 00:00,08/31/2015 23:59,Amount,110,Daily,Even,15,False,0,Minutes,0,2.5,TMCM,0,,
4356242,AdFederal India,610940,DT NEXT,DT NEXT ( NOV),DT NEXT ( Chennai),2016-10-10T15:14:19.794000,Paused,10/31/2015 00:00,11/15/2015 23:59,Amount,250000,Daily,Even,5000,10/31/2015 00:00,11/15/2015 23:59,Amount,100000,Daily,Even,5000,False,0,Minutes,0,2,TMCM,0,,
4356244,AdFederal India,610940,DT NEXT,DT NEXT ( NOV),DT next ( All Site),2016-10-10T15:14:19.794000,Paused,10/31/2015 00:00,11/15/2015 23:59,Amount,250000,Daily,Even,5000,10/31/2015 00:00,11/15/2015 23:59,Amount,100000,Daily,Even,5000,False,0,Minutes,0,2,TMCM,0,,
4366500,AdFederal India,610940,APL-Royale Play (Visit),APL-Royale Play,APL-Royale Play,2016-10-10T15:14:52.943000,Active,11/02/2015 00:00,11/23/2015 23:59,Amount,150000,Daily,ASAP,8000,11/02/2015 00:00,11/23/2015 23:59,Amount,100000,Daily,Even,4000,False,0,Minutes,0,4,TMCM,0,,
4410254,AdFederal India,610940,APL-Royale Play (Visit),APL-Royale Play,APL- Royale  Play ( Revised),2016-07-26T17:54:39.727000,Active,11/02/2015 00:00,11/23/2015 23:59,Amount,150000,Daily,ASAP,8000,11/02/2015 00:00,11/23/2015 23:59,Amount,50000,Daily,ASAP,3000,False,0,Minutes,0,4,TMCM,0,,
4777256,AdFederal India,610940,RAI Italia,RAI Italia RON 320x50,RAI Italia RON 320x50,2016-07-27T04:44:11.253000,Paused,12/15/2015 00:00,12/31/2015 23:59,Amount,1500,Daily,ASAP,1500,12/15/2015 00:00,12/31/2015 23:59,Amount,750,Daily,ASAP,50,True,1000,Lifetime,0,0.4,TMCM,0,,
4777257,AdFederal India,610940,RAI Italia,RAI Italia RON 320x50,RAI Italia RON 300x50,2016-07-27T04:44:10.107000,Paused,12/15/2015 00:00,12/31/2015 23:59,Amount,1500,Daily,ASAP,1500,12/15/2015 00:00,12/31/2015 23:59,Amount,750,Daily,ASAP,50,True,1000,Lifetime,0,0.4,TMCM,0,,
4818362,AdFederal India,610940,Moonbow Air purifier (RTB Programmatic),Moonbow Air purifier (RTB Programmatic),Moonbow Air purifier (RTB Programmatic),2016-10-10T15:45:29.271000,Active,12/17/2015 00:00,01/15/2016 23:59,Amount,120000,Daily,Even,500,12/17/2015 00:00,01/15/2016 23:59,Amount,120000,Daily,Even,500,False,0,Minutes,0,3,TMCM,0,,
4827234,AdFederal India,610940,Moonbow Air purifier (RTB Programmatic),Moonbow Air purifier (RTB Programmatic),BS TAG ( Roadblock),2016-10-10T15:45:29.271000,Paused,12/17/2015 00:00,01/15/2016 23:59,Amount,120000,Daily,Even,500,12/17/2015 00:00,01/15/2016 23:59,Amount,15000,Flight,Even,0,False,0,Minutes,0,0,TMCM,0,,
5197531,AdFederal India,610940,8842,8842,8842,2016-10-10T16:30:31.265000,Paused,02/01/2016 00:00,03/31/2016 23:59,Amount,130000,Daily,Even,4000,02/01/2016 00:00,03/31/2016 23:59,Amount,110000,Daily,Even,4000,False,0,Minutes,0,2,TMCM,0,,
6450141,AdFederal India,610940,8842,8842,8842,2016-10-10T16:30:31.265000,Paused,04/01/2016 00:00,06/30/2016 23:59,Amount,391500,Daily,ASAP,5000,04/01/2016 00:00,06/30/2016 23:59,Amount,391500,Daily,Even,5000,False,0,Minutes,0,0,TMCM,0,,
6947386,AdFederal India,610940,8842,8842,TOEFL_ NEW,2016-10-10T16:30:31.265000,Paused,04/01/2016 00:00,06/30/2016 23:59,Amount,391500,Daily,ASAP,5000,05/09/2016 00:00,06/30/2016 23:59,Amount,10000,Daily,Even,1000,False,0,Minutes,0,0,TMCM,0,,
7665148,AdFederal India,610940,8842,8842,Appnexus ( TOEFL JULY),2016-10-10T16:30:31.265000,Active,07/01/2016 00:00,07/31/2016 23:59,Amount,50000,Flight,Even,0,07/01/2016 00:00,07/31/2016 23:59,Amount,50000,Flight,Even,0,False,0,Minutes,0,4,TMCM,0,,
4370650,AdFederal India,610940,University of Tasmania  (Cricket Sites ),University of Tasmania Cricket Sites,University of Tasmania (CrickBuzz),2016-10-10T15:34:50.481000,Active,11/02/2015 00:00,11/08/2015 23:59,Amount,60000,Daily,ASAP,3000,11/02/2015 00:00,11/08/2015 23:59,Amount,30000,Daily,ASAP,3000,False,0,Minutes,0,5,TMCM,0,,
