Day,Campaign ID,Campaign,Gender,Impressions,Clicks,Conversions,Cost
2016-04-16,390878914,TNT GDN,Undetermined,6521,0,0.0,8380330
2016-04-13,390878914,TNT GDN,Undetermined,93679,19,0.0,142583300
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,12546,18,0.0,4391940000
2016-04-13,390878914,TNT GDN,Female,76455,20,0.0,110539610
2016-04-14,390878914,TNT GDN,Female,77864,32,0.0,109773570
2016-04-15,390878914,TNT GDN,Undetermined,102056,21,0.0,151023150
2016-04-14,390878914,TNT GDN,Undetermined,102046,29,0.0,155862300
2016-04-15,390878914,TNT GDN,Undetermined,8439,2,0.0,10319860
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Male,36610,42,0.0,13678750000
2016-04-13,390878914,TNT GDN,Female,8393,0,0.0,10163560
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Female,9806,14,0.0,3636980000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Male,30721,43,0.0,11101060000
2016-04-14,390878914,TNT GDN,Male,12409,3,0.0,14854430
2016-04-14,390878914,TNT GDN,Female,5909,1,0.0,5847780
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,13797,22,0.0,4663910000
2016-04-14,390878914,TNT GDN,Undetermined,7233,0,0.0,7577780
2016-04-16,390878914,TNT GDN,Female,56452,9,0.0,88198290
2016-04-16,390878914,TNT GDN,Male,140011,23,0.0,243884390
2016-04-15,390878914,TNT GDN,Female,83472,23,0.0,117241230
2016-04-16,390878914,TNT GDN,Undetermined,89504,20,0.0,142824270
2016-04-13,390878914,TNT GDN,Male,136060,24,0.0,211854140
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,14031,30,0.0,5143920000
2016-04-14,390878914,TNT GDN,Male,136324,34,0.0,207470580
2016-04-15,390878914,TNT GDN,Male,131899,17,0.0,203153470
2016-04-13,390878914,TNT GDN,Undetermined,11441,0,0.0,15388890
2016-04-13,394914754,Hindware Rimless video promotion,Male,1320,5,0.0,491580000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Female,13216,24,0.0,5068720000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Male,31271,54,0.0,11057420000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Female,10426,13,0.0,3721570000
2016-04-16,390878914,TNT GDN,Male,11331,1,0.0,12744400
2016-04-13,390878914,TNT GDN,Male,21880,5,0.0,26731210
2016-04-15,390878914,TNT GDN,Male,15140,1,0.0,17361330
2016-04-13,394914754,Hindware Rimless video promotion,Undetermined,6,0,0.0,1700000
2016-04-16,390878914,TNT GDN,Female,3845,1,0.0,5035890
2016-04-13,394914754,Hindware Rimless video promotion,Female,215,0,0.0,70870000
2016-04-15,390878914,TNT GDN,Female,6547,1,0.0,7555890
Total, --, --, --,1518875,551,0.0,65054789650
