Day,Campaign ID,Campaign,Impressions,Clicks,Unique cookies,All conv.,Cost
2016-04-14,401500834,Test Campaign,0,0,< 100,0.0,0
2016-04-15,377911114,LICHFL-(GDN),0,0,< 100,0.0,0
2016-04-13,377911114,LICHFL-(GDN),0,0,< 100,0.0,0
2016-04-16,377911114,LICHFL-(GDN),0,0,< 100,0.0,0
2016-04-15,377276674,HINDWAREHOMES ( GDN),0,0,< 100,0.0,0
2016-04-15,380380114,Hindwarehome Video ( 15 Sec),0,0,< 100,0.0,0
2016-04-14,361299514,Moonbow AF Lunch ( True View),0,0,< 100,0.0,0
2016-04-13,380380114,Hindwarehome Video ( 15 Sec),0,0,< 100,0.0,0
2016-04-14,377276674,HINDWAREHOMES ( GDN),0,0,< 100,0.0,0
2016-04-14,394914754,Hindware Rimless video promotion,0,0,< 100,0.0,0
2016-04-15,394914754,Hindware Rimless video promotion,0,0,< 100,0.0,0
2016-04-13,390878914,TNT GDN,347908,68,181835,0.0,517260710
2016-04-16,368117434,Moonbow Remarketing,0,0,< 100,0.0,0
2016-04-16,390878914,TNT GDN,307664,54,184881,0.0,501067570
2016-04-16,401253514,Interplanetary Cruise banner #1461604492187,0,0,< 100,0.0,0
2016-04-15,366818074,Moonbow Air Purifier ( GDN),0,0,< 100,0.0,0
2016-04-13,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,< 100,0.0,0
2016-04-15,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,< 100,0.0,0
2016-04-16,366818074,Moonbow Air Purifier ( GDN),0,0,< 100,0.0,0
2016-04-13,401253514,Interplanetary Cruise banner #1461604492187,0,0,< 100,0.0,0
2016-04-13,381641554,Hindware Video Campaign,0,0,< 100,0.0,0
2016-04-14,401253514,Interplanetary Cruise banner #1461604492187,0,0,< 100,0.0,0
2016-04-13,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,< 100,0.0,0
2016-04-14,374981554,Hindwarehome - Remarketing,0,0,< 100,0.0,0
2016-04-16,361299874,Moonbow AF awareness video ( True View),0,0,< 100,0.0,0
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),53693,74,52269,0.0,19214570000
2016-04-13,395092114,Hindwarehome FAN ( Content Targeted),0,0,10488,0.0,0
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),54874,90,52138,0.0,19358310000
2016-04-13,377917954,LICHFL-(Display),0,0,< 100,0.0,0
2016-04-13,377915914,LICHL-Display,0,0,< 100,0.0,0
2016-04-16,377917954,LICHFL-(Display),0,0,< 100,0.0,0
2016-04-15,377915914,LICHL-Display,0,0,< 100,0.0,0
2016-04-14,377917954,LICHFL-(Display),0,0,< 100,0.0,0
2016-04-16,401500834,Test Campaign,0,0,< 100,0.0,0
2016-04-13,401500834,Test Campaign,0,0,< 100,0.0,0
2016-04-15,401500834,Test Campaign,0,0,< 100,0.0,0
2016-04-14,377911114,LICHFL-(GDN),0,0,< 100,0.0,0
2016-04-13,377276674,HINDWAREHOMES ( GDN),0,0,< 100,0.0,0
2016-04-16,361299514,Moonbow AF Lunch ( True View),0,0,< 100,0.0,0
2016-04-13,394914754,Hindware Rimless video promotion,1541,5,1520,0.0,564150000
2016-04-15,361299514,Moonbow AF Lunch ( True View),0,0,< 100,0.0,0
2016-04-16,377276674,HINDWAREHOMES ( GDN),0,0,< 100,0.0,0
2016-04-14,380380114,Hindwarehome Video ( 15 Sec),0,0,< 100,0.0,0
2016-04-13,361299514,Moonbow AF Lunch ( True View),0,0,< 100,0.0,0
2016-04-16,380380114,Hindwarehome Video ( 15 Sec),0,0,< 100,0.0,0
2016-04-16,394914754,Hindware Rimless video promotion,0,0,< 100,0.0,0
2016-04-15,368117434,Moonbow Remarketing,0,0,< 100,0.0,0
2016-04-13,368117434,Moonbow Remarketing,0,0,< 100,0.0,0
2016-04-15,390878914,TNT GDN,347553,65,180346,0.0,506654930
2016-04-14,368117434,Moonbow Remarketing,0,0,< 100,0.0,0
2016-04-14,390878914,TNT GDN,341785,99,186883,0.0,501386440
2016-04-14,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,< 100,0.0,0
2016-04-16,386105194,HindwareHomes video Ads.... ( 15 Sec),0,0,< 100,0.0,0
2016-04-14,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,< 100,0.0,0
2016-04-15,401253514,Interplanetary Cruise banner #1461604492187,0,0,< 100,0.0,0
2016-04-15,381641554,Hindware Video Campaign,0,0,< 100,0.0,0
2016-04-14,366818074,Moonbow Air Purifier ( GDN),0,0,< 100,0.0,0
2016-04-16,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,< 100,0.0,0
2016-04-13,366818074,Moonbow Air Purifier ( GDN),0,0,< 100,0.0,0
2016-04-14,381641554,Hindware Video Campaign,0,0,< 100,0.0,0
2016-04-15,361977634,Moon bow (Advantedges Contextual Targeting ),0,0,< 100,0.0,0
2016-04-16,381641554,Hindware Video Campaign,0,0,< 100,0.0,0
2016-04-13,374981554,Hindwarehome - Remarketing,0,0,< 100,0.0,0
2016-04-15,361299874,Moonbow AF awareness video ( True View),0,0,< 100,0.0,0
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),63857,96,54100,0.0,23891390000
2016-04-13,361299874,Moonbow AF awareness video ( True View),0,0,< 100,0.0,0
2016-04-15,374981554,Hindwarehome - Remarketing,0,0,< 100,0.0,0
2016-04-16,374981554,Hindwarehome - Remarketing,0,0,< 100,0.0,0
2016-04-14,361299874,Moonbow AF awareness video ( True View),0,0,< 100,0.0,0
2016-04-15,377917954,LICHFL-(Display),0,0,< 100,0.0,0
2016-04-14,377915914,LICHL-Display,0,0,< 100,0.0,0
2016-04-16,377915914,LICHL-Display,0,0,< 100,0.0,0
Total, --, --,1518875,551, --,0.0,65054789650
