Day,Campaign ID,Campaign,Impressions,Clicks,All conv.,Cost,City,Country/Territory,Device
2016-04-14,390878914,TNT GDN,4,0,0.0,4670,9040211,2356,Computers
2016-04-16,390878914,TNT GDN,174,0,0.0,429550,9050510,2356,Computers
2016-04-16,390878914,TNT GDN,3490,0,0.0,3637060,1007796,2356,Mobile devices with full browsers
2016-04-16,390878914,TNT GDN,15,0,0.0,20890,9040223,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,7,0,0.0,17960,9050493,2356,Mobile devices with full browsers
2016-04-14,390878914,TNT GDN,4,0,0.0,14910,9050487,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,365,0,0.0,637620,1007756,2356,Computers
2016-04-13,394914754,Hindware Rimless video promotion,3,0,0.0,0,1007743,2356,Computers
2016-04-13,394914754,Hindware Rimless video promotion,1,0,0.0,0,1007776,2356,Tablets with full browsers
2016-04-13,390878914,TNT GDN,4,0,0.0,110,1007829,2356,Tablets with full browsers
2016-04-13,394914754,Hindware Rimless video promotion,1,0,0.0,0,9040170,2356,Mobile devices with full browsers
2016-04-13,390878914,TNT GDN,302,0,0.0,523940,1007758,2356,Computers
2016-04-15,390878914,TNT GDN,111,0,0.0,184770,1007818,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,226,0,0.0,349810,1007758,2356,Computers
2016-04-14,390878914,TNT GDN,18,0,0.0,15200,9040166,2356,Mobile devices with full browsers
2016-04-13,390878914,TNT GDN,2,0,0.0,4290,9040166,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,416,0,0.0,694140,9040213,2356,Computers
2016-04-14,390878914,TNT GDN,27,0,0.0,46350,1007816,2356,Tablets with full browsers
2016-04-13,390878914,TNT GDN,26,0,0.0,28080,9050513,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,26,0,0.0,46930,9040205,2356,Tablets with full browsers
2016-04-13,394914754,Hindware Rimless video promotion,1,0,0.0,0,9050484,2356,Computers
2016-04-15,390878914,TNT GDN,105,0,0.0,160530,9040171,2356,Computers
2016-04-14,390878914,TNT GDN,3990,1,0.0,4930300,1007753,2356,Mobile devices with full browsers
2016-04-16,390878914,TNT GDN,533,0,0.0,961300,9040196,2356,Computers
2016-04-15,390878914,TNT GDN,4362,1,0.0,5064510,1007824,2356,Mobile devices with full browsers
2016-04-14,390878914,TNT GDN,139,0,0.0,256970,1007824,2356,Tablets with full browsers
2016-04-13,390878914,TNT GDN,146,0,0.0,256900,1007824,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,1,0,0.0,3070,9040203,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,18,0,0.0,18690,9050531,2356,Computers
2016-04-14,390878914,TNT GDN,41,0,0.0,52800,9040244,2356,Computers
2016-04-15,390878914,TNT GDN,1206,0,0.0,2202900,9040246,2356,Computers
2016-04-14,390878914,TNT GDN,108,0,0.0,132340,1007804,2356,Mobile devices with full browsers
2016-04-16,390878914,TNT GDN,1070,0,0.0,2117530,9040246,2356,Computers
2016-04-14,390878914,TNT GDN,191,0,0.0,235800,9040198,2356,Mobile devices with full browsers
2016-04-13,390878914,TNT GDN,5,0,0.0,11430,9040222,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,5,0,0.0,8730,9040169,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,46,0,0.0,32060,9040222,2356,Mobile devices with full browsers
2016-04-13,390878914,TNT GDN,69,0,0.0,94830,1007812,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,2,0,0.0,0,9050492,2356,Mobile devices with full browsers
2016-04-13,390878914,TNT GDN,55,0,0.0,96810,9050524,2356,Computers
2016-04-14,390878914,TNT GDN,1,0,0.0,0,1007825,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,25,0,0.0,27080,9050478,2356,Computers
2016-04-13,390878914,TNT GDN,199,0,0.0,193020,9040204,2356,Mobile devices with full browsers
2016-04-14,390878914,TNT GDN,3,0,0.0,520,9050491,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,2,0,0.0,5110,9050478,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,46,0,0.0,112950,9050503,2356,Computers
2016-04-13,390878914,TNT GDN,20,0,0.0,20650,9040214,2356,Tablets with full browsers
2016-04-13,394914754,Hindware Rimless video promotion,2,0,0.0,0,9040245,2356,Tablets with full browsers
2016-04-16,390878914,TNT GDN,47,0,0.0,88500,9050509,2356,Computers
2016-04-15,390878914,TNT GDN,1,0,0.0,0,9040228,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,154,0,0.0,268520,9050527,2356,Computers
2016-04-15,390878914,TNT GDN,124,0,0.0,245390,9040182,2356,Computers
2016-04-16,390878914,TNT GDN,12,0,0.0,25100,9040191,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,502,0,0.0,630300,1007800,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,50,0,0.0,70280,9040180,2356,Computers
2016-04-13,390878914,TNT GDN,3,0,0.0,3850,9040191,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,3,0,0.0,2710,1007795,2356,Tablets with full browsers
2016-04-16,390878914,TNT GDN,12195,2,0.0,23462370, --,2356,Computers
2016-04-14,390878914,TNT GDN,52,0,0.0,67590,1007795,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,152,0,0.0,208550,9040173,2356,Mobile devices with full browsers
2016-04-16,390878914,TNT GDN,35,0,0.0,51250,1007761,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,22,0,0.0,32390,9040202,2356,Tablets with full browsers
2016-04-16,390878914,TNT GDN,2,0,0.0,120,9040238,2356,Mobile devices with full browsers
2016-04-15,390878914,TNT GDN,18,0,0.0,16830,9040220,2356,Mobile devices with full browsers
2016-04-16,390878914,TNT GDN,17,0,0.0,17220,9040215,2356,Tablets with full browsers
2016-04-14,390878914,TNT GDN,298,0,0.0,634760,1007811,2356,Computers
2016-04-13,390878914,TNT GDN,254,0,0.0,343650,9040210,2356,Computers
2016-04-13,390878914,TNT GDN,5,0,0.0,4600,1007811,2356,Tablets with full browsers
2016-04-15,390878914,TNT GDN,305,0,0.0,454110,1007744,2356,Computers
