Day,Campaign ID,Campaign,Age Range,Impressions,Clicks,Conversions,Cost
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),35-44,7100,14,0.0,2705450000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),65 or more,1773,6,0.0,583240000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),65 or more,1713,4,0.0,711750000
2016-04-14,390878914,TNT GDN,45-54,12921,6,0.0,22349200
2016-04-15,390878914,TNT GDN,25-34,6883,0,0.0,8096490
2016-04-15,390878914,TNT GDN,35-44,3711,0,0.0,4477120
2016-04-13,390878914,TNT GDN,55-64,9263,0,0.0,15838530
2016-04-16,390878914,TNT GDN,65 or more,592,0,0.0,750820
2016-04-13,390878914,TNT GDN,18-24,9974,1,0.0,10461790
2016-04-15,390878914,TNT GDN,18-24,6938,2,0.0,6810920
2016-04-16,390878914,TNT GDN,18-24,4664,0,0.0,5097250
2016-04-13,390878914,TNT GDN,25-34,10411,2,0.0,13396780
2016-04-13,390878914,TNT GDN,45-54,13649,3,0.0,22795680
2016-04-14,390878914,TNT GDN,35-44,2511,0,0.0,3147160
2016-04-16,390878914,TNT GDN,45-54,15353,0,0.0,28879640
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),65 or more,2123,10,0.0,662920000
2016-04-14,390878914,TNT GDN,25-34,5612,2,0.0,7189230
2016-04-13,390878914,TNT GDN,35-44,4788,1,0.0,6383520
2016-04-14,390878914,TNT GDN,18-24,7085,1,0.0,6088570
2016-04-13,390878914,TNT GDN,65 or more,1234,1,0.0,1620540
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),25-34,16713,16,0.0,6083050000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),45-54,3050,6,0.0,1209190000
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,17317,26,0.0,5892490000
2016-04-16,390878914,TNT GDN,55-64,1033,0,0.0,1428460
2016-04-13,390878914,TNT GDN,Undetermined,90242,23,0.0,135692120
2016-04-15,390878914,TNT GDN,35-44,27519,3,0.0,45724110
2016-04-14,390878914,TNT GDN,55-64,916,0,0.0,1193990
2016-04-15,390878914,TNT GDN,Undetermined,8525,2,0.0,10572380
2016-04-13,394914754,Hindware Rimless video promotion,35-44,165,1,0.0,62940000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),18-24,14606,20,0.0,5682440000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),25-34,11953,13,0.0,4483160000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),45-54,3223,3,0.0,1087180000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,18390,33,0.0,6667060000
2016-04-15,390878914,TNT GDN,55-64,1475,0,0.0,1948610
2016-04-14,390878914,TNT GDN,35-44,26765,4,0.0,45328500
2016-04-13,390878914,TNT GDN,Undetermined,11351,0,0.0,15163440
