"GEO_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Impressions,Clicks,All conv.,Cost,City,Country/Territory,Device
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),127,0,0.0,46130000,1007786,2356,Mobile devices with full browsers
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),2,0,0.0,0,9040179,2356,Computers
2016-04-12,394914754,Hindware Rimless video promotion,12,0,0.0,4840000,9040200,2356,Mobile devices with full browsers
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),36,0,0.0,15920000,1007758,2356,Mobile devices with full browsers
2016-04-12,394914754,Hindware Rimless video promotion,71,0,0.0,29650000,1007786,2356,Mobile devices with full browsers
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),8,0,0.0,4090000,9050513,2356,Computers
2016-04-12,394914754,Hindware Rimless video promotion,1,0,0.0,0,9040210,2356,Tablets with full browsers
2016-04-11,394914754,Hindware Rimless video promotion,1,0,0.0,0,9040200,2356,Mobile devices with full browsers
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),151,0,0.0,43790000,1007820,2356,Mobile devices with full browsers
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),2,0,0.0,2210000,9040213,2356,Tablets with full browsers
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),3,0,0.0,1920000,1007755,2356,Computers
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),45,0,0.0,26770000,1007758,2356,Mobile devices with full browsers
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),520,0,0.0,173190000,1007792,2356,Mobile devices with full browsers
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),10,0,0.0,4510000,1007825,2356,Computers
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),1,0,0.0,0,9040225,2356,Computers
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),27,0,0.0,11110000,9040215,2356,Computers
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),10,0,0.0,4820000,9040216,2356,Computers
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),53,0,0.0,20030000,1007820,2356,Computers
2016-04-12,394914754,Hindware Rimless video promotion,4,0,0.0,2530000,1007755,2356,Computers
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),4,0,0.0,0,9040210,2356,Tablets with full browsers
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),11,0,0.0,3560000,1007825,2356,Mobile devices with full browsers
