"AUDIENCE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Audience,Impressions,Clicks,Conversions,Cost
2016-04-09,390878914,TNT GDN,uservertical::92001,150,0,0.0,124230
2016-04-04,390878914,TNT GDN,uservertical::92001,124,0,0.0,79680
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92800,166,0,0.0,42020000
2016-04-07,390878914,TNT GDN,uservertical::92001,193,0,0.0,292720
2016-04-11,390878914,TNT GDN,uservertical::92001,45,0,0.0,55670
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::90200,2,0,0.0,0
2016-04-06,390878914,TNT GDN,uservertical::92001,533,0,0.0,691750
2016-04-03,390878914,TNT GDN,uservertical::92001,774,0,0.0,838750
2016-04-10,390878914,TNT GDN,uservertical::92001,63,0,0.0,70990
2016-04-04,390878914,TNT GDN,uservertical::92001,700,0,0.0,932210
2016-04-11,390878914,TNT GDN,uservertical::92001,393,0,0.0,637820
2016-04-01,390878914,TNT GDN,uservertical::92001,177,0,0.0,278580
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92300,261,0,0.0,66270000
2016-04-05,390878914,TNT GDN,uservertical::92001,79,0,0.0,41650
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92800,12,0,0.0,7050000
2016-04-16,390878914,TNT GDN,uservertical::92001,874,0,0.0,997440
2016-04-08,390878914,TNT GDN,uservertical::92001,275,0,0.0,420560
2016-04-18,390878914,TNT GDN,uservertical::92001,143,0,0.0,187320
2016-04-17,390878914,TNT GDN,uservertical::92001,980,0,0.0,915730
2016-04-13,390878914,TNT GDN,uservertical::92001,213,0,0.0,313660
2016-04-10,390878914,TNT GDN,uservertical::92001,365,0,0.0,515240
2016-04-14,390878914,TNT GDN,uservertical::92001,699,0,0.0,780740
2016-04-12,390878914,TNT GDN,uservertical::92001,254,0,0.0,227350
2016-04-15,390878914,TNT GDN,uservertical::92001,124,0,0.0,187720
2016-04-19,390878914,TNT GDN,uservertical::92001,4,0,0.0,0
2016-04-02,390878914,TNT GDN,uservertical::92001,935,0,0.0,1051220
2016-04-15,390878914,TNT GDN,uservertical::92001,797,0,0.0,1046880
2016-04-08,390878914,TNT GDN,uservertical::92001,222,0,0.0,329920
2016-04-02,390878914,TNT GDN,uservertical::92001,133,0,0.0,192630
2016-04-07,390878914,TNT GDN,uservertical::92001,526,0,0.0,795940
2016-04-01,390878914,TNT GDN,uservertical::92001,207,0,0.0,262400
2016-04-09,390878914,TNT GDN,uservertical::92001,310,0,0.0,374390
2016-04-05,390878914,TNT GDN,uservertical::92001,655,0,0.0,706240
2016-04-18,390878914,TNT GDN,uservertical::92001,905,0,0.0,1082150
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::90200,19,0,0.0,4960000
