"GENDER_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Gender,Impressions,Clicks,Conversions,Cost
2016-04-04,390878914,TNT GDN,Undetermined,99258,13,0.0,158848590
2016-04-12,390878914,TNT GDN,Undetermined,92279,22,0.0,146364550
2016-04-01,390878914,TNT GDN,Female,21676,2,0.0,36536450
2016-04-19,390878914,TNT GDN,Undetermined,628,1,0.0,1036020
2016-04-09,390878914,TNT GDN,Undetermined,45785,12,0.0,83249480
2016-04-14,390878914,TNT GDN,Female,5909,1,0.0,5847780
2016-04-16,390878914,TNT GDN,Undetermined,89504,20,0.0,142824270
2016-04-14,390878914,TNT GDN,Undetermined,102046,29,0.0,155862300
2016-04-01,390878914,TNT GDN,Undetermined,32883,5,0.0,60430770
2016-04-02,390878914,TNT GDN,Female,8435,2,0.0,12645540
2016-04-08,390878914,TNT GDN,Undetermined,43923,9,0.0,73856640
2016-04-06,390878914,TNT GDN,Undetermined,10985,0,0.0,16749100
2016-04-08,390878914,TNT GDN,Female,29784,7,0.0,50144070
2016-04-12,390878914,TNT GDN,Undetermined,14754,1,0.0,22302950
2016-04-08,390878914,TNT GDN,Undetermined,61841,12,0.0,101263740
2016-04-19,390878914,TNT GDN,Female,5,0,0.0,8150
2016-04-17,390878914,TNT GDN,Undetermined,105832,33,0.0,153005280
2016-04-11,390878914,TNT GDN,Female,5967,0,0.0,10685630
2016-04-18,390878914,TNT GDN,Undetermined,5563,0,0.0,7260360
2016-04-17,390878914,TNT GDN,Female,3380,1,0.0,3564220
2016-04-15,390878914,TNT GDN,Undetermined,102056,21,0.0,151023150
2016-04-05,390878914,TNT GDN,Undetermined,109233,22,0.0,167403820
2016-04-09,390878914,TNT GDN,Female,15181,3,0.0,29683950
2016-04-11,390878914,TNT GDN,Undetermined,13481,2,0.0,22068590
2016-04-17,390878914,TNT GDN,Undetermined,5422,4,0.0,5414710
2016-04-16,390878914,TNT GDN,Undetermined,6521,0,0.0,8380330
2016-04-03,390878914,TNT GDN,Undetermined,7643,2,0.0,10492750
2016-04-02,390878914,TNT GDN,Undetermined,10793,1,0.0,17607030
2016-04-02,390878914,TNT GDN,Undetermined,92892,18,0.0,161896600
2016-04-18,390878914,TNT GDN,Female,3521,1,0.0,4809440
2016-04-04,390878914,TNT GDN,Female,5354,2,0.0,6732990
2016-04-04,390878914,TNT GDN,Undetermined,7971,0,0.0,12353870
2016-04-05,390878914,TNT GDN,Female,6473,3,0.0,6439150
2016-04-10,390878914,TNT GDN,Undetermined,96150,27,0.0,163025670
2016-04-15,390878914,TNT GDN,Undetermined,8439,2,0.0,10319860
2016-04-06,390878914,TNT GDN,Undetermined,109912,24,0.0,162297460
2016-04-12,390878914,TNT GDN,Female,9520,2,0.0,13689450
2016-04-01,390878914,TNT GDN,Undetermined,77751,11,0.0,138155440
2016-04-13,390878914,TNT GDN,Undetermined,93679,19,0.0,142583300
2016-04-13,390878914,TNT GDN,Undetermined,11441,0,0.0,15388890
2016-04-06,390878914,TNT GDN,Female,6197,0,0.0,7473620
2016-04-09,390878914,TNT GDN,Undetermined,61547,18,0.0,103196200
2016-04-10,390878914,TNT GDN,Female,6270,1,0.0,11832660
2016-04-13,390878914,TNT GDN,Female,8393,0,0.0,10163560
2016-04-07,390878914,TNT GDN,Undetermined,80174,13,0.0,125898990
2016-04-05,390878914,TNT GDN,Undetermined,10713,3,0.0,14948790
2016-04-07,390878914,TNT GDN,Undetermined,38593,5,0.0,64515630
2016-04-03,390878914,TNT GDN,Undetermined,107009,33,0.0,167699630
2016-04-18,390878914,TNT GDN,Undetermined,88238,17,0.0,140522250
2016-04-15,390878914,TNT GDN,Female,6547,1,0.0,7555890
2016-04-14,390878914,TNT GDN,Undetermined,7233,0,0.0,7577780
2016-04-07,390878914,TNT GDN,Female,11870,2,0.0,20221220
2016-04-11,390878914,TNT GDN,Undetermined,101702,20,0.0,166707660
2016-04-10,390878914,TNT GDN,Undetermined,12986,3,0.0,22254580
2016-04-16,390878914,TNT GDN,Female,3845,1,0.0,5035890
2016-04-03,390878914,TNT GDN,Female,6652,4,0.0,8936540
